1	Divisions of the field
A 'skull and crossbones' pirate flag
 
Flag of the Nationalist Party of Puerto Rico
Flag of the Nationalist Party of Puerto Rico
 
National League of Families POW/MIA flag
National League of Families POW/MIA flag
 
Standard of the Duke of Cornwall, United Kingdom
Standard of the Duke of Cornwall, United Kingdom
 
Flag of the Zapatista Army of National Liberation
Flag of the Zapatista Army of National Liberation
Plain grey field
Flag of Morocco (780–974)
Flag of Morocco (780–974)
Plain grey field, with mobile charge(s)
Flag of the Brazilian Navy
Flag of the Brazilian Navy
 
Flag of the United States Civil Air Patrol
Flag of the United States Civil Air Patrol
 
Flag of a United States Attorney
Flag of a United States Attorney
 
Flag of the United States Immigration and Customs Enforcement
Flag of the United States Immigration and Customs Enforcement
 
Flag of Wezembeek-Oppem, Belgium
Flag of Wezembeek-Oppem, Belgium
 
Flag of the Santiago Metropolitan Region, Chile
Flag of the Santiago Metropolitan Region, Chile
 
Flag of Kandava, Latvia
Flag of Kandava, Latvia
 
Flag of Magnitogorsk, Chelyabinsk Oblast, Russia
Flag of Magnitogorsk, Chelyabinsk Oblast, Russia
 
Flag of DeKalb County, Georgia, USA
Flag of DeKalb County, Georgia, USA
 
Flag of the former Silver Legion of America
Flag of the former Silver Legion of America
 See also category: Flags with grey fields.
Plain blue field
Blue Ensign of Sweden's former Archipelago fleet (1761–1813)
Blue Ensign of Sweden's former Archipelago fleet (1761–1813)
Plain blue field, with mobile charge(s)
Flag of Europe
Flag of Europe
 
Flag of the Commonwealth of Independent States
Flag of the Commonwealth of Independent States
 
Flag of Central European Free Trade Agreement
Flag of Central European Free Trade Agreement
 
Flag of NATO
Flag of NATO
 
Flag of the Collective Security Treaty Organization
Flag of the Collective Security Treaty Organization
 
Flag of the Nordic Council
Flag of the Nordic Council
 
Flag of Kosovo
Flag of Kosovo
 
Flag of the Federal Senate of Brazil
Flag of the Federal Senate of Brazil
 
Flag of the Federal Police, Brazil
Flag of the Federal Police, Brazil
 
Flag of the Federal Highway Police, Brazil
Flag of the Federal Highway Police, Brazil
 
Naval Jack of the Dominican Republic
Naval Jack of the Dominican Republic
 
Flag of the President of Greece
Flag of the President of Greece
 
Flag of the President of Ireland
Flag of the President of Ireland
 
Flag of the Israel Police
Flag of the Israel Police
 
Presidential Standard of South Korea
Presidential Standard of South Korea
 
Presidential Standard of Malta
Presidential Standard of Malta
 
Flag of the President of the Philippines
Flag of the President of the Philippines
 
Flag of the Somali Police Force
Flag of the Somali Police Force
 
Flag of the Somaliland Police Force
Flag of the Somaliland Police Force
 
Flag of the National Security and Defense Council of Ukraine
Flag of the National Security and Defense Council of Ukraine
 
Flag of the Northern Cheyenne
Flag of the Northern Cheyenne
 
Flag of the President of the United States
Flag of the President of the United States
 
Flag of the National Oceanic and Atmospheric Administration, USA
Flag of the National Oceanic and Atmospheric Administration, USA
 
Bonnie Blue flag
Bonnie Blue flag
 
Former ensign of the Chinese Salt Administration (1912-1929)
Former ensign of the Chinese Salt Administration (1912-1929)
 
Flag of the former Belgian Congo (1877-1960)
Flag of the former Belgian Congo (1877-1960)
 
Royal Banner of France (1365–1794)
Royal Banner of France (1365–1794)
 
Flag of the Free State of Icaria (Greece, 1912)
Flag of the Free State of Icaria (Greece, 1912)
 
Military Banner of the Kingdom of Silla (Korea)
Military Banner of the Kingdom of Silla (Korea)
 
Ensign of the Sudanese Customs Service (1956-1970)
Ensign of the Sudanese Customs Service (1956-1970)
 
Flag of the Governor of the state of Mato Grosso, Brazil
Flag of the Governor of the state of Mato Grosso, Brazil
 
Flag of the Province of Alberta, Canada
Flag of the Province of Alberta, Canada
 
Flag of the Department of Alpes-Maritimes, France
Flag of the Department of Alpes-Maritimes, France
 
Flag of Macedonia, Greece
Flag of Macedonia, Greece
 
Flag of Friuli-Venezia Giulia, Italy
Flag of Friuli-Venezia Giulia, Italy
 
Flag of Chuuk, Federated States of Micronesia
Flag of Chuuk, Federated States of Micronesia
 
Flag of Koror state, Palau
Flag of Koror state, Palau
 
Flag of Poltava Oblast, Ukraine
Flag of Poltava Oblast, Ukraine
 
County Flag of Suffolk, England, United Kingdom
County Flag of Suffolk, England, United Kingdom
 
Flag of the Yavapai-Prescott Tribe
Flag of the Yavapai-Prescott Tribe
 
Flag of Alaska, USA
