1	Divisions of the field
Flag of Earth (John McConnell, 1973 version)
Flag of Earth (John McConnell, 1973 version)
 
Eureka Flag (Australia)
Eureka Flag (Australia)
 
Flag of Free German Youth
Flag of Free German Youth
 
International Flag of Planet Earth (Pernefeldt)
International Flag of Planet Earth (Pernefeldt)
 
Nishan Sahib (blue/surrmai variant)
Nishan Sahib (blue/surrmai variant)
 See also category: Flags with blue fields.
Plain azure field
Flag of Cochabamba, Bolivia
Flag of Cochabamba, Bolivia
Plain azure field, with mobile charge(s)
Flag of the United Nations
Flag of the United Nations
 
Flag of the Federated States of Micronesia
Flag of the Federated States of Micronesia
 
Flag of Palau
Flag of Palau
 
Flag of Saint Lucia
Flag of Saint Lucia
 
Flag of Somalia
Flag of Somalia
 
Flag of the President of Botswana
Flag of the President of Botswana
 
Flag of Paraguay (1826-1842)
Flag of Paraguay (1826-1842)
 
Air Force Ensign of Belgium
Air Force Ensign of Belgium
 
Flag of the Japan Air Self-Defense Force
Flag of the Japan Air Self-Defense Force
 
Air Force Ensign of Myanmar
Air Force Ensign of Myanmar
 
Flag of the Peruvian Air Force
Flag of the Peruvian Air Force
 
Ensign of the Ukrainian Air Force
Ensign of the Ukrainian Air Force
 
Flag of the United Arab Emirates Air Force
Flag of the United Arab Emirates Air Force
 
Flag of the Venezuelan Air Force
Flag of the Venezuelan Air Force
 
Flag of the former Republic of Vietnam Air Force
Flag of the former Republic of Vietnam Air Force
 
Flag of Asturias
Flag of Asturias
 
Flag of Region Sjælland, Denmark
Flag of Region Sjælland, Denmark
 
Flag of the Osage Nation
Flag of the Osage Nation
 
Flag Phuket Province, Thailand
Flag Phuket Province, Thailand
 
Flag of Sumy Oblast, Ukraine
Flag of Sumy Oblast, Ukraine
 
Flag of Tirana County, Albania
Flag of Tirana County, Albania
 
Flag of Sarajevo, Bosnia and Herzegovina
Flag of Sarajevo, Bosnia and Herzegovina
 
Flag of Elva Parish, Estonia
Flag of Elva Parish, Estonia
 
Flag of Meiwa, Gunma, Japan (ceremonial)
Flag of Meiwa, Gunma, Japan (ceremonial)
 
Flag of Sawara, Hokkaido (former, 1917–2005), Japan
Flag of Sawara, Hokkaido (former, 1917–2005), Japan
 
Flag of Ulaanbaatar, Mongolia
Flag of Ulaanbaatar, Mongolia
 
Flag of Hitra, Trøndelag county, Norway
Flag of Hitra, Trøndelag county, Norway
 
Flag of Novi Sad, Serbia
Flag of Novi Sad, Serbia
 
Flag of Segovia, Spain
Flag of Segovia, Spain
 
Flag of Santa Clara County, California, USA
Flag of Santa Clara County, California, USA
 
Flag of Boston, Massachusetts, USA
Flag of Boston, Massachusetts, USA
 
Former flag of El Paso, Texas, USA (1948-1960)
Former flag of El Paso, Texas, USA (1948-1960)
 
Flag of Milwaukee, Wisconsin, USA
Flag of Milwaukee, Wisconsin, USA
 
Flag of the East Turkestan
Flag of the East Turkestan
 
Flag of Ido
Flag of Ido
 
Flag of the International Eucharistic Congress (Dublin, 1932)
Flag of the International Eucharistic Congress (Dublin, 1932)
 
Starry Plough (modern variant)
Starry Plough (modern variant)
NOTE: Azure here refers to the modern color specification of azure, not heraldic 'azure'.

Plain cyan field
Flag of the Qutb Shahi dynasty
Flag of the Qutb Shahi dynasty
Plain cyan field, with mobile charge(s)
Flag of the Organization of Turkic States
Flag of the Organization of Turkic States
 
Flag of the Gwich'in Nation
Flag of the Gwich'in Nation
 
Flag of the Republic of Kazakhstan
Flag of the Republic of Kazakhstan
 
Flag of Delaware, USA
Flag of Delaware, USA
 
Flag of Karlovac, Croatia
Flag of Karlovac, Croatia
 
Flag of Midden-Drenthe, Netherlands
Flag of Midden-Drenthe, Netherlands
Plain green field
Flag of the former Libyan Jamahiriya (1977-2011)
Flag of the former Libyan Jamahiriya (1977-2011)
 
Flag of the Fatimid Caliphate
Flag of the Fatimid Caliphate
 
Flag of the Emirate of Sicily
Flag of the Emirate of Sicily
 
Flag of the Sokoto Caliphate
Flag of the Sokoto Caliphate
 
Flag of Beni
Flag of Beni
 
Flag of Adamawa State, Nigeria
Flag of Adamawa State, Nigeria
 
Flag of Zamfara State, Nigeria
Flag of Zamfara State, Nigeria
 
Flag of Candelaria, Cuscatlán, El Salvador
Flag of Candelaria, Cuscatlán, El Salvador
 
Flag of Cercado Province, Beni Department, Bolivia
Flag of Cercado Province, Beni Department, Bolivia
 
Flag of the Gutiérrez–Magee Expedition filibuster
Flag of the Gutiérrez–Magee Expedition filibuster
Plain green field, with mobile charge(s)
Flag of the African Union
Flag of the African Union
 
Flag of the League of Arab States (Arab League)
Flag of the League of Arab States (Arab League)
 
Flag of the Supreme Allied Commander Europe, NATO
Flag of the Supreme Allied Commander Europe, NATO
 
Former flag of the Organization of Islamic Cooperation (1981–2011)
Former flag of the Organization of Islamic Cooperation (1981–2011)
 
Flag of the Republic of Bangladesh
Flag of the Republic of Bangladesh
 
Flag of Brazil
Flag of Brazil
 
Flag of Saudi Arabia
Flag of Saudi Arabia
 
Flag of the President of Brazil
Flag of the President of Brazil
 
Flag of the President of Dominica
Flag of the President of Dominica
 
Flag of the Guyana Defence Force
Flag of the Guyana Defence Force
 
Flag of the Indonesian Army
Flag of the Indonesian Army
 
Standard of the Prime Minister of Pakistan
Standard of the Prime Minister of Pakistan
 
Flag of the President of Portugal
Flag of the President of Portugal
 
Flag of the President of Turkmenistan
Flag of the President of Turkmenistan
 
Former flag of Benin (1975–1990) (1822-1853)-->
Former flag of Benin (1975–1990) (1822-1853)-->
 
Former flag of the Cook Islands (1973-1979)
Former flag of the Cook Islands (1973-1979)
 
Flag of the former Kingdom of Egypt (1922–52)
Flag of the former Kingdom of Egypt (1922–52)
 
Irish Republic Flag
Irish Republic Flag
 
Flag of the Autonomous Republic of Togo (1958–1960)
Flag of the Autonomous Republic of Togo (1958–1960)
 
Flag of the Cocos (Keeling) Islands, Australia
Flag of the Cocos (Keeling) Islands, Australia
 
Flag of Beni Department, Bolivia
Flag of Beni Department, Bolivia
 
Flag of Ceará, Brazil
Flag of Ceará, Brazil
 
Flag of the Macao Special Administrative Region of the People's Republic of China
Flag of the Macao Special Administrative Region of the People's Republic of China
 
Flag of Ash Sharqiyah Governorate, Egypt
Flag of Ash Sharqiyah Governorate, Egypt
 
Flag of Leinster, Ireland
Flag of Leinster, Ireland
 
Flag of Lombardy, Italy
Flag of Lombardy, Italy
 
Flag of the Mường Autonomous Territory, colonial Vietnam
Flag of the Mường Autonomous Territory, colonial Vietnam
 
Flag of Kachin State, Myanmar
Flag of Kachin State, Myanmar
 
Flag of Balochistan, Pakistan
Flag of Balochistan, Pakistan
 
Flag of the Republic of Adygea, Russian Federation
Flag of the Republic of Adygea, Russian Federation
 
Flag of Stellaland (1883-1885)
Flag of Stellaland (1883-1885)
 
Rutland County Flag, England, United Kingdom
Rutland County Flag, England, United Kingdom
 
Flag of Tiree, Inner Hebrides, Scotland, United Kingdom
Flag of Tiree, Inner Hebrides, Scotland, United Kingdom
 
Flag of Lea County, New Mexico, USA
Flag of Lea County, New Mexico, USA
 
Flag of the Governor of North Dakota, USA
Flag of the Governor of North Dakota, USA
 
Flag of the Governor of Oklahoma, USA
Flag of the Governor of Oklahoma, USA
 
Flag of the State of Washington, USA
Flag of the State of Washington, USA
 
Flag of Charqueada, São Paulo, Brazil
Flag of Charqueada, São Paulo, Brazil
 
Flag of Delta, British Columbia, Canada
Flag of Delta, British Columbia, Canada
 
Flag of Raseborg, Finland
Flag of Raseborg, Finland
 
Flag of Accra, Ghana
Flag of Accra, Ghana
 
Flag of Sodegaura, Chiba, Japan
Flag of Sodegaura, Chiba, Japan
 
Flag of Tsuchiura, Ibaraki, Japan
Flag of Tsuchiura, Ibaraki, Japan
 
Flag of Morioka, Iwate, Japan
Flag of Morioka, Iwate, Japan
 
Flag of Kumatori, Osaka, Japan
Flag of Kumatori, Osaka, Japan
 
Flag of Kunitachi, Tokyo, Japan
Flag of Kunitachi, Tokyo, Japan
 
Flag of Sint Anthonis, North Brabant, Netherlands
Flag of Sint Anthonis, North Brabant, Netherlands
 
Flag of Manila, Philippines
Flag of Manila, Philippines
 
Flag of Bangkok, Thailand
Flag of Bangkok, Thailand
 
Flag of the Islamska Zajednica (Bosnia and Herzegovina)
Flag of the Islamska Zajednica (Bosnia and Herzegovina)
 
Ethnic flag of the Khakas people
Ethnic flag of the Khakas people
 
Flag of the Rohingya people
Flag of the Rohingya people
 See also category: Flags with green fields.
Plain brown field
Plain brown field, with mobile charge(s)
Flag of Yamaguchi Prefecture, Japan
Flag of Yamaguchi Prefecture, Japan
 
Flag of Laguna Pueblo
Flag of Laguna Pueblo
 
Former unofficial flag of Osun State, Nigeria
Former unofficial flag of Osun State, Nigeria
 
Flag of Matsumoto, Nagano, Japan
Flag of Matsumoto, Nagano, Japan
 
Flag of Yuzawa, Niigata, Japan
Flag of Yuzawa, Niigata, Japan
 
Flag of Gabiria, Basque Country, Spain
Flag of Gabiria, Basque Country, Spain
 See also category: Flags with brown fields.
Plain buff field
Party insignia of the (British) Whigs
Party insignia of the (British) Whigs
Plain buff field, with mobile charge(s)
Flag of Maine (1901–1909), USA
Flag of Maine (1901–1909), USA
 
Flag of the Navajo Nation, USA
Flag of the Navajo Nation, USA
 
Flag of New Jersey, USA
Flag of New Jersey, USA
 
Flag of New York (1896–1901), USA
Flag of New York (1896–1901), USA
 
Quartermaster Center flag, United States Army
Quartermaster Center flag, United States Army
 
Flag of Manaus, Amazonas, Brazil
Flag of Manaus, Amazonas, Brazil
Note: Refer also to the heraldic tictures of tenné and carnation.

Plain gold, yellow field
Yellow Jack
Yellow Jack
 
Flag of the Bruneian Empire
Flag of the Bruneian Empire
 
Flag of the Sultanate of Maguindanao
Flag of the Sultanate of Maguindanao
 
Flag of the Ayyubid dynasty
Flag of the Ayyubid dynasty
Plain gold, yellow, with mobile charge(s)
Royal Standard of Barbados (1975–2021)
Royal Standard of Barbados (1975–2021)
 
Flag of the Federal Supreme Court, Brazil
Flag of the Federal Supreme Court, Brazil
 
Ambassor Flag of Brazil
Ambassor Flag of Brazil
 
Envoy Extraordinary Flag of Brazil
Envoy Extraordinary Flag of Brazil
 
Chargé d'Affaires Flag of Brazil
Chargé d'Affaires Flag of Brazil
 
Consul-General Flag of Brazil
Consul-General Flag of Brazil
 
Consul Flag of Brazil
Consul Flag of Brazil
 
Royal Standard of Brunei
Royal Standard of Brunei
 
Presidential Standard of Indonesia
Presidential Standard of Indonesia
 
Royal Standard of the Yang di-Pertuan Agong of Malaysia
Royal Standard of the Yang di-Pertuan Agong of Malaysia
 
King's Standard of Thailand
King's Standard of Thailand
 
Flag of the United States Public Health Service
Flag of the United States Public Health Service
 
Flag of China of the Qing dynasty (1862–1912)
Flag of China of the Qing dynasty (1862–1912)
 
Banner of the Holy Roman Emperor (1400-1806)
Banner of the Holy Roman Emperor (1400-1806)
 
Flag of the Emperor of the former Manchukuo
Flag of the Emperor of the former Manchukuo
 
Flag of the Duchy of Parma and Piacenza (1545-1731) (Italy)
Flag of the Duchy of Parma and Piacenza (1545-1731) (Italy)
 
Imperial Standard of the Emperor of Russia (1858–1917)
Imperial Standard of the Emperor of Russia (1858–1917)
 
Gadsden flag of the American United Colonies
Gadsden flag of the American United Colonies
 
Flag of Flanders, Belgium
Flag of Flanders, Belgium
 
Flag of Wallonia, Belgium
Flag of Wallonia, Belgium
 
Flag of Mohéli, Comoros
Flag of Mohéli, Comoros
 
Flag of Fukuyama, Hiroshima, Japan
Flag of Fukuyama, Hiroshima, Japan
 
Flag of Magway Region, Myanmar
Flag of Magway Region, Myanmar
 
O'odham flag (unofficial)
O'odham flag (unofficial)
 
Flag of the Lower Silesian Voivodeship, Poland
Flag of the Lower Silesian Voivodeship, Poland
 
Flag of the Pomeranian Voivodeship, Poland
Flag of the Pomeranian Voivodeship, Poland
 
Flag of the Pontianak Sultanate
Flag of the Pontianak Sultanate
 
Flag of Kalmykia, Russian Federation
Flag of Kalmykia, Russian Federation
 
Flag of Yaroslav Oblast, Russia
Flag of Yaroslav Oblast, Russia
 
Flag of Canton of Schaffhausen, Switzerland
Flag of Canton of Schaffhausen, Switzerland
 
Flag of Prachuap Khiri Khan province, Thailand
Flag of Prachuap Khiri Khan province, Thailand
 
Flag of Roi-Et province, Thailand
Flag of Roi-Et province, Thailand
 
Lancashire, England, United Kingdom
Lancashire, England, United Kingdom
 
Flag of Somerset County, England, United Kingdom
Flag of Somerset County, England, United Kingdom
 
Flag of New Mexico, USA
Flag of New Mexico, USA
 
Flag of Itabuna, Bahia, Brazil
Flag of Itabuna, Bahia, Brazil
 
Flag of Sertãozinho, São Paulo, Brazil
Flag of Sertãozinho, São Paulo, Brazil
 
Flag of Porto Novo, Cape Verde
Flag of Porto Novo, Cape Verde
 
Flag of Denpasar City, Bali, Indonesia
Flag of Denpasar City, Bali, Indonesia
 
Flag of Utashinai, Hokkaido, Japan
Flag of Utashinai, Hokkaido, Japan
 
Flag of Marijampole, Lithuania
Flag of Marijampole, Lithuania
 
Flag of Taichung, Taiwan
Flag of Taichung, Taiwan
 
Flag of Tomylivka, Kyiv Oblast, Ukraine
Flag of Tomylivka, Kyiv Oblast, Ukraine
 
Flag of Anchorage, Alaska, USA
Flag of Anchorage, Alaska, USA
 
Flag of Oakland, California, USA
Flag of Oakland, California, USA
 
Flag of Bozeman, Montana, USA
Flag of Bozeman, Montana, USA
 
Flag of Santa Fe, New Mexico, USA
Flag of Santa Fe, New Mexico, USA
 
Chabad Mashiach Flag
Chabad Mashiach Flag
 
Flag of the Greek Orthodox Church
Flag of the Greek Orthodox Church
 
Nishan Sahib (saffron variant)
Nishan Sahib (saffron variant)
 See also category: Flags with yellow fields.
Plain orange field
Flag of the Maratha Empire
Flag of the Maratha Empire
 
Flag of Fujimorism (Peru)
Flag of Fujimorism (Peru)
Plain orange field, with mobile charge(s)
Former flag of Tibet (1920-1925)
Former flag of Tibet (1920-1925)
 
Royal Flag of Princess Sirivannavari Nariratana, Thailand
Royal Flag of Princess Sirivannavari Nariratana, Thailand
 
Flag of the United States Federal Aviation Administration
Flag of the United States Federal Aviation Administration
 
Flag of Bali, Indonesia
Flag of Bali, Indonesia
 
Flag of Fukushima Prefecture, Japan
Flag of Fukushima Prefecture, Japan
 
Flag of Nagano Prefecture, Japan
Flag of Nagano Prefecture, Japan
 
Flag of Mandalay Division, Myanmar
Flag of Mandalay Division, Myanmar
 
Flag of Nakhon Ratchasima province, Thailand
Flag of Nakhon Ratchasima province, Thailand
 
Flag of Udon Thani province, Thailand
Flag of Udon Thani province, Thailand
 
A guidon of the United States Army Signal Corps
A guidon of the United States Army Signal Corps
 
Flag of Netanya, Israel
Flag of Netanya, Israel
 
Flag of Rishon LeZion, Israel
Flag of Rishon LeZion, Israel
 
Flag of Fukushima, Fukushima, Japan
Flag of Fukushima, Fukushima, Japan
 
Flag of Ora, Gunma, Japan
Flag of Ora, Gunma, Japan
 
Flag of the city of Nara, Nara Prefecture, Japan
Flag of the city of Nara, Nara Prefecture, Japan
 
Flag of Lima, Peru
Flag of Lima, Peru
 
Flag of Juba, South Sudan
Flag of Juba, South Sudan
 
Flag of Orange County, California, USA
Flag of Orange County, California, USA
 
Flag of Nassau County, New York, USA
Flag of Nassau County, New York, USA
 
Whitney Smith's proposed Flag of Antarctica
Whitney Smith's proposed Flag of Antarctica
 
Flag of Buddhism in Thailand
Flag of Buddhism in Thailand
 
Flag of the Christian Democratic Union of Germany
Flag of the Christian Democratic Union of Germany
 
A flag of the Mayo people
A flag of the Mayo people
 
Flag of the former Flemish National Union
Flag of the former Flemish National Union
 
Flag of the Sulawesi Separatist Movement (Indonesia)
Flag of the Sulawesi Separatist Movement (Indonesia)
 
Flag of the National Party (South Africa)|South African National Party (1936–1993)
Flag of the National Party (South Africa)|South African National Party (1936–1993)
 See also category: Flags with orange fields.
Plain red field
The Red Flag
The Red Flag
 
Flag of the Bavarian Soviet Republic, the Free Socialist Republic of Germany, the Hungarian Soviet Republic and the Slovak Soviet Republic
Flag of the Bavarian Soviet Republic, the Free Socialist Republic of Germany, the Hungarian Soviet Republic and the Slovak Soviet Republic
 
Flag of Morocco (1666–1915)
Flag of Morocco (1666–1915)
 
Flag of the Sultanate of Muscat and Oman and Muscat
Flag of the Sultanate of Muscat and Oman and Muscat
 
Flag of Zanzibar (1861–1963)
Flag of Zanzibar (1861–1963)
 
Flag of the Emirate of Fujairah
Flag of the Emirate of Fujairah
 
Flag of Oruro Department, Bolivia
Flag of Oruro Department, Bolivia
 
Flag of Siam (c. 1700–1782) as Civil Ensign (c. 1700–1855)
Flag of Siam (c. 1700–1782) as Civil Ensign (c. 1700–1855)
 
Flag of the Kingdom of Yemen (1918–1923)
Flag of the Kingdom of Yemen (1918–1923)
 
Flag of the Kedah Sultanate (18th century–1912)
Flag of the Kedah Sultanate (18th century–1912)
Plain red field, with mobile charge(s)
Flag of the Republic of Albania
Flag of the Republic of Albania
 
Flag of the Anishinabe
Flag of the Anishinabe
 
Flag of the People's Republic of China
Flag of the People's Republic of China
 
Flag of Kyrgyzstan
Flag of Kyrgyzstan
 
Flag of Morocco
Flag of Morocco
 
Flag of the Oglala Sioux (Pine Ridge)
Flag of the Oglala Sioux (Pine Ridge)
 
Flag of Switzerland
Flag of Switzerland
 
Flag of the Republic of Tunisia
Flag of the Republic of Tunisia
 
Flag of Türkiye
Flag of Türkiye
 
Flag of the Socialist Republic of Vietnam
Flag of the Socialist Republic of Vietnam
 
Flag of the President of Angola
Flag of the President of Angola
 
Flag of the Belarusian Ground Forces
Flag of the Belarusian Ground Forces
 
Royal Standard of King Philippe of Belgium
Royal Standard of King Philippe of Belgium
 
Standard of the Emperor of Japan
Standard of the Emperor of Japan
 
Flag of the Chairman of the State Affairs Commission of North Korea
Flag of the Chairman of the State Affairs Commission of North Korea
 
Flag of the President of Kyrgyzstan
Flag of the President of Kyrgyzstan
