#FAMILIES
leafFamily	familyPath
Middle Georgian	Kartvelian;;Karto-Zan;;Old Georgian;;Middle Georgian
Misumalpan	Misumalpan
Monic	Monic
Moré	Atlantic–Congo;;Gur;;Northern;;Oti–Volta;;Moré–Dagbani;;Moré
Moselle Franconian	Germanic;;West Germanic;;Weser–Rhine Germanic;;(High German);;Central German;;West Central German;;Central Franconian;;Moselle Franconian
Motu	Malayo-Polynesian;;Oceanic;;Western Oceanic;;Papuan Tip;;Central;;Sinagoro–Keapar;;Motu
Moxo languages	Arawakan;;Southern;;Bolivia–Parana;;Moxo languages
Moxos	Arawakan;;Southern;;Bolivia–Parana;;Moxos
Māori–Moriori	Malayo-Polynesian;;Oceanic;;Central Pacific;;East Central Pacific;;Nuclear Polynesian;;Eastern Polynesian;;Tahitic;;Māori–Moriori
Mường–Nguồn	Vietic;;Viet–Mường;;Mường–Nguồn
Navarro-Aragonese	Italic;;Latino-Faliscan;;Romance;;Italo-Western;;Western Romance;;(disputed);;Pyrenean–Mozarabic?;;Navarro-Aragonese
Ngbandi-based creole	Ngbandi-based creole
Niger-Congo?	Niger-Congo?
North	Semitic;;West Semitic;;South Semitic;;Ethiopic;;North
North Sea Germanic	Germanic;;West Germanic;;North Sea Germanic
Northeastern	Semitic;;Central Semitic;;Northwest Semitic;;Aramaic;;Eastern;;Northeastern
Northern	Atlantic–Congo;;Gur;;Southern;;Gurunsi;;Northern
Northern Athabaskan	Na-Dené;;Athabaskan;;Northern Athabaskan
Northern Luzon	Malayo-Polynesian;;Philippine;;Northern Luzon
Northern Tai	Kam–Tai;;Be–Tai ?;;Tai;;Northern Tai
Northwest Caucasian	Northwest Caucasian
Northwestern	Atlantic–Congo;;Volta-Congo;;Savannas;;Gur;;Northern Gur;;Oti–Volta;;Western Oti-Volta;;Northwestern
Northwestern (Shan)	Tai;;Southwestern;;Northwestern (Shan)
Northwestern Romani	Indo-Iranian;;Indo-Aryan;;Central Zone;;Romani;;Northern Romani;;Northwestern Romani
Norwegian dialects	Germanic;;North Germanic;;West Scandinavian;;Norwegian dialects
Nuclear Micronesian	Malayo-Polynesian;;Oceanic;;Micronesian;;Micronesian Proper;;Nuclear Micronesian
Nuer-Reel	Eastern Sudanic;;Southern Eastern;;Nilotic;;Western Nilotic;;Dinka–Nuer;;Nuer-Reel
Nyasa	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Nyasa
Occitano-Romance	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western Romance;;Gallo-Romance;;Occitano-Romance
Oromoid	Cushitic;;East;;Lowland;;Oromoid
Ovambo	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Kavango–Southwest;;Southwest Bantu;;Ovambo
